class_name,class_description,method,method_description
com.dropbox.core.v2.files.DownloadError.Tag,Discriminating tag type for DownloadError.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.files.DownloadError.Tag,Discriminating tag type for DownloadError.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.files.DownloadErrorException,"Exception thrown when the server responds with a DownloadError error.

  This exception is raised by DbxUserFilesRequests.download(String,String). ",N/A,N/A
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).",dumpFields(DumpWriter out),N/A
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).",getTypeName(),N/A
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).",toString(),N/A
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).",toString(StringBuilder buf),N/A
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).",toStringMultiline(),Like toString() except returns a multi-line string.
com.dropbox.core.util.Dumpable,"A common superclass for pure-data classes.  Contains a function to dump
 the data (for debugging purposes).","toStringMultiline(StringBuilder buf,
                 int currentIndent,
                 boolean nl)","Like toStringMultiline(), but appends the result to buf
 instead of returning a string."
com.dropbox.core.util.DumpWriter,N/A,f(String name),N/A
com.dropbox.core.util.DumpWriter,N/A,"fieldVerbatim(String name,
             String s)",N/A
com.dropbox.core.util.DumpWriter,N/A,listEnd(),N/A
com.dropbox.core.util.DumpWriter,N/A,listStart(),N/A
com.dropbox.core.util.DumpWriter,N/A,recordEnd(),N/A
com.dropbox.core.util.DumpWriter,N/A,recordStart(String name),N/A
com.dropbox.core.util.DumpWriter,N/A,toStringDate(Date date),N/A
com.dropbox.core.util.DumpWriter,N/A,v(boolean v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(Date v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(double v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(Dumpable v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(float v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(int v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(Iterable<? extends Dumpable> list),N/A
com.dropbox.core.util.DumpWriter,N/A,v(long v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(Long v),N/A
com.dropbox.core.util.DumpWriter,N/A,v(String v),N/A
com.dropbox.core.util.DumpWriter,N/A,verbatim(String s),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,f(String name),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,listEnd(),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,listStart(),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,recordEnd(),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,recordStart(String name),N/A
com.dropbox.core.util.DumpWriter.Multiline,N/A,verbatim(String s),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,f(String name),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,listEnd(),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,listStart(),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,recordEnd(),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,recordStart(String name),N/A
com.dropbox.core.util.DumpWriter.Plain,N/A,verbatim(String s),N/A
com.dropbox.core.v2.teampolicies.EmmState,Emm token is disabled,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.teampolicies.EmmState,Emm token is disabled,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.FileAction,Sharing actions that may be taken on files.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.FileAction,Sharing actions that may be taken on files.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,equals(Object obj),N/A
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getClientModified(),"The modification time set by the desktop client when the file was added
 to Dropbox."
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getContentOwnerTeamInfo(),The team information of the content's owner.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getExpires(),"Expiration time, if set."
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getId(),A unique identifier for the linked file.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getLinkPermissions(),The link's access permissions.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getName(),The linked file name (including extension).
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getPathLower(),The lowercased full path in the user's Dropbox.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getRev(),A unique identifier for the current revision of a file.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getServerModified(),The last time the file was modified on Dropbox.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getSize(),The file size in bytes.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getTeamMemberInfo(),The team membership information of the link's owner.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,getUrl(),URL of the shared link.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,hashCode(),N/A
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,"newBuilder(String url,
          String name,
          LinkPermissions linkPermissions,
          Date clientModified,
          Date serverModified,
          String rev,
          long size)",Returns a new builder for creating an instance of this class.
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,toString(),N/A
com.dropbox.core.v2.sharing.FileLinkMetadata,The metadata of a file shared link,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,build(),"Builds an instance of FileLinkMetadata configured with this
 builder's values"
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,withContentOwnerTeamInfo(Team contentOwnerTeamInfo),Set value for optional field.
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,withExpires(Date expires),Set value for optional field.
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,withId(String id),Set value for optional field.
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,withPathLower(String pathLower),Set value for optional field.
com.dropbox.core.v2.sharing.FileLinkMetadata.Builder,Builder for FileLinkMetadata.,withTeamMemberInfo(TeamMemberInfo teamMemberInfo),Set value for optional field.
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharingFileAccessError value),"Returns an instance of FileMemberActionError that has its tag set
 to FileMemberActionError.Tag.ACCESS_ERROR."
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getAccessErrorValue(),Specified file was invalid or user does not have access.
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAccessError(),"Returns true if this instance has the tag FileMemberActionError.Tag.ACCESS_ERROR, false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isInvalidMember(),"Returns true if this instance has the tag FileMemberActionError.Tag.INVALID_MEMBER, false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isNoPermission(),"Returns true if this instance has the tag FileMemberActionError.Tag.NO_PERMISSION, false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag FileMemberActionError.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toString(),N/A
com.dropbox.core.v2.sharing.FileMemberActionError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.FileMemberActionError.Tag,Discriminating tag type for FileMemberActionError.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.FileMemberActionError.Tag,Discriminating tag type for FileMemberActionError.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.FileMemberActionErrorException,"Exception thrown when the server responds with a FileMemberActionError error.

  This exception is raised by DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).
 ",N/A,N/A
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",equals(Object obj),N/A
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",getMemberErrorValue(),User was not able to perform this action.
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",getSuccessValue(),Member was successfully removed from this file.
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",hashCode(),N/A
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",isMemberError(),"Returns true if this instance has the tag FileMemberActionIndividualResult.Tag.MEMBER_ERROR, false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",isSuccess(),"Returns true if this instance has the tag FileMemberActionIndividualResult.Tag.SUCCESS,
 false otherwise."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",memberError(FileMemberActionError value),"Returns an instance of FileMemberActionIndividualResult that has
 its tag set to FileMemberActionIndividualResult.Tag.MEMBER_ERROR."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",success(),"Returns an instance of FileMemberActionIndividualResult that has
 its tag set to FileMemberActionIndividualResult.Tag.SUCCESS."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",success(AccessLevel value),"Returns an instance of FileMemberActionIndividualResult that has
 its tag set to FileMemberActionIndividualResult.Tag.SUCCESS."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",toString(),N/A
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult,"This class is a tagged union.  Tagged unions instances are always associated
 to a specific tag.  This means only one of the isAbc() methods will
 return true. You can use tag() to determine the tag
 associated with this instance.",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult.Tag,Discriminating tag type for FileMemberActionIndividualResult.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.FileMemberActionIndividualResult.Tag,Discriminating tag type for FileMemberActionIndividualResult.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",equals(Object obj),N/A
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",getMember(),One of specified input members.
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",getResult(),The outcome of the action on this member.
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",hashCode(),N/A
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",toString(),N/A
com.dropbox.core.v2.sharing.FileMemberActionResult,"Per-member result for DbxUserSharingRequests.removeFileMember2(String,MemberSelector) or DbxUserSharingRequests.addFileMember(String,java.util.List) or DbxUserSharingRequests.changeFileMemberAccess(String,MemberSelector,AccessLevel).",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getMemberErrorValue(),User was not able to remove this member.
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getSuccessValue(),Member was successfully removed from this file.
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isMemberError(),"Returns true if this instance has the tag FileMemberRemoveActionResult.Tag.MEMBER_ERROR, false otherwise."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag FileMemberRemoveActionResult.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isSuccess(),"Returns true if this instance has the tag FileMemberRemoveActionResult.Tag.SUCCESS,
 false otherwise."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",memberError(FileMemberActionError value),"Returns an instance of FileMemberRemoveActionResult that has its
 tag set to FileMemberRemoveActionResult.Tag.MEMBER_ERROR."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",success(MemberAccessLevelResult value),"Returns an instance of FileMemberRemoveActionResult that has its
 tag set to FileMemberRemoveActionResult.Tag.SUCCESS."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toString(),N/A
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult.Tag,Discriminating tag type for FileMemberRemoveActionResult.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.FileMemberRemoveActionResult.Tag,Discriminating tag type for FileMemberRemoveActionResult.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,equals(Object obj),N/A
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getClientModified(),"For files, this is the modification time set by the desktop client when
 the file was added to Dropbox."
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getHasExplicitSharedMembers(),"This flag will only be present if include_has_explicit_shared_members  is
 true in DbxUserFilesRequests.listFolder(String) or DbxUserFilesRequests.getMetadata(String)."
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getId(),A unique identifier for the file.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getMediaInfo(),Additional information if the file is a photo or video.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getName(),The last component of the path (including extension).
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getParentSharedFolderId(),Deprecated.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getPathDisplay(),The cased path to be used for display purposes only.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getPathLower(),The lowercased full path in the user's Dropbox.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getPropertyGroups(),"Additional information if the file has custom properties with the
 property template specified."
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getRev(),A unique identifier for the current revision of a file.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getServerModified(),The last time the file was modified on Dropbox.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getSharingInfo(),Set if this file is contained in a shared folder.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getSize(),The file size in bytes.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,hashCode(),N/A
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,"newBuilder(String name,
          String id,
          Date clientModified,
          Date serverModified,
          String rev,
          long size)",Returns a new builder for creating an instance of this class.
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,toString(),N/A
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,build(),"Builds an instance of FileMetadata configured with this
 builder's values"
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withHasExplicitSharedMembers(Boolean hasExplicitSharedMembers),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withMediaInfo(MediaInfo mediaInfo),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withParentSharedFolderId(String parentSharedFolderId),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withPathDisplay(String pathDisplay),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withPathLower(String pathLower),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withPropertyGroups(List<PropertyGroup> propertyGroups),Set value for optional field.
com.dropbox.core.v2.files.FileMetadata.Builder,Builder for FileMetadata.,withSharingInfo(FileSharingInfo sharingInfo),Set value for optional field.
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,equals(Object obj),N/A
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,getAction(),The action that the user may wish to take on the file.
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,getAllow(),True if the user is allowed to take the action.
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,getReason(),The reason why the user is denied the permission.
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,hashCode(),N/A
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,toString(),N/A
com.dropbox.core.v2.sharing.FilePermission,Whether the user is allowed to take the sharing action on the file.,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,equals(Object obj),N/A
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,getModifiedBy(),The last user who modified the file.
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,getParentSharedFolderId(),ID of shared folder that holds this file.
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,getReadOnly(),True if the file or folder is inside a read-only shared folder.
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,hashCode(),N/A
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,toString(),N/A
com.dropbox.core.v2.files.FileSharingInfo,Sharing info for a file which is contained by a shared folder.,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.android.FixedSecureRandom,"Older versions of Android have a SecureRandom that isn't actually secure.  This
 class implements a workaround.  Call the static get() method to get a
 secure SecureRandom instance.

 
 This workaround code was recommended by Google in a
 euphemistically-titled blog post.
 Our code is slightly different because we're a library so we don't want to change
 global JVM settings.
 ",get(),N/A
com.dropbox.core.android.FixedSecureRandom.LinuxPrngSecureRandomSpi,"SecureRandomSpi which passes all requests to the Linux PRNG
 (/dev/urandom).",engineGenerateSeed(int size),N/A
com.dropbox.core.android.FixedSecureRandom.LinuxPrngSecureRandomSpi,"SecureRandomSpi which passes all requests to the Linux PRNG
 (/dev/urandom).",engineNextBytes(byte[] bytes),N/A
com.dropbox.core.android.FixedSecureRandom.LinuxPrngSecureRandomSpi,"SecureRandomSpi which passes all requests to the Linux PRNG
 (/dev/urandom).",engineSetSeed(byte[] bytes),N/A
com.dropbox.core.v2.sharing.FolderAction,Actions that may be taken on shared folders.,valueOf(String name),Returns the enum constant of this type with the specified name.
