class_name,class_description,method,method_description,return_type
groups,N/A - VK has no Class Descriptions,getlongpollsettings,Returns Bots Long Poll API settings.,"Возвращает объект, который содержит следующие поля: 

is_enabled (boolean) — true if Bots Long Poll API is enabled. 
events (object) — Bots Long Poll settings. Object with the events settings in following format - 
 ""event"":""status"" (0 — disabled, 1 — enabled). Object contains following fields: 
message_new new message 
 integer, 1 or 0 message_reply new outcoming message 
 integer, [0,1] message_edit message has been edited 
 integer, [0,1] message_allow new user consent to messages sending 
 integer, 1 or 0 message_deny new user prohibition to messages sending 
 integer, 1 or 0 photo_new new photo 
 integer, 1 or 0 audio_new new audio 
 integer, 1 or 0 video_new new video 
 integer, 1 or 0 wall_reply_new new comment on wall 
 integer, 1 or 0 wall_reply_edit comment on wall has been edited 
 integer, 1 or 0 wall_reply_delete comment on wall has been deleted 
 integer, 1 or 0 wall_post_new new post on the wall 
 integer, 1 or 0 wall_repost new repost form the community 
 integer, 1 or 0 board_post_new new comment in board 
 integer, 1 or 0 board_post_edit board comment has been edited 
 integer, 1 or 0 board_post_delete board comment has been deleted 
 integer, 1 or 0 board_post_restore board comment has been restored 
 integer, 1 or 0 photo_comment_new new comment to photo
 integer, 1 or 0 photo_comment_edit photo comment has been edited
 integer, 1 or 0 photo_comment_delete photo comment has been deleted
 integer, 1 or 0 photo_comment_restore photo comment has been restored
 integer, 1 or 0 video_comment_new new comment to video
 integer, 1 or 0 video_comment_edit video comment has been edited
 integer, 1 or 0 video_comment_delete video comment has been deleted
 integer, 1 or 0 video_comment_restore video comment has been restored
 integer, 1 or 0 market_comment_new new comment to market item
 integer, 1 or 0 market_comment_edit market comment has been edited
 integer, 1 or 0 market_comment_delete market comment has been deleted
 integer, 1 or 0 market_comment_restore market comment has been restored
 integer, 1 or 0 poll_vote_new new vote in a public poll has been adeed
 integer, [0,1] group_join joined community 
 integer, 1 or 0 group_leave left community 
 integer, 1 or 0 user_block new user in the community's blacklist 
 integer, 1 or 0 user_unblock a user has been deleted from the community's blacklist 
 integer, 1 or 0 group_change_settings community settings have been changed 
 integer, 1 or 0 group_change_photo community main photo has been changed 
 integer, 1 or 0 group_officers_edit community officers list has been changed 
 integer, 1 or 0  "
groups,N/A - VK has no Class Descriptions,getmembers,Returns a list of community members.,"Returns the total number of community members and a list of user IDs (items). 
If fields parameter is set, items field contains an array of objects describing users. "
groups,N/A - VK has no Class Descriptions,getonlinestatus,Returns a community's online status.,"Returns an object with following fields: 

status — community's status. Possible values: 

none — not online; 
online — online (answers instanly); 
answer_mark — answers quickly. 

minutes — estimated time in minutes (for status = answer_mark). 
"
groups,N/A - VK has no Class Descriptions,getrequests,Returns a list of requests to the community.,"Returns the total results number in count field and an array of user IDs (integer) in items field. 
If the fields parameter is passed, items field contains an array of user describing object. "
groups,N/A - VK has no Class Descriptions,getsettings,Returns community settings.,"Returns an object containig community data that allows to show interface for groups.edit method. 
Object contains the following fields: 
title 
stringcommunity title. description 
stringcommunity description. address 
stringscreen name. place  
objectobject describing place. wall 
integerwall settings. photos 
integerphotos settings. video 
integervideos settings. audio 
integeraudios settings. docs 
integerdocuments settings. topics 
integertopics settings. wiki 
integerwikipages settings. obscene_filter
integerobscene filter settings. obscene_stopwords
integerkeywords filter settings. obscene_words
stringkeywords list. access  
integercommunity type. subject  
integersubject ID. subject_list  
arraypossible subjects list. An array of objects containing following fields: 

id (integer) — subject ID; 
name (string) — subject title. rss 
stringRSS feed URL. website 
stringwebsite URL. age_limits 
integerage limits. market   
objectmarket settings. Object containing followting fields: 

enabled (integer, [0,1]) — information whether the market is enabled; 
comments_enabled (integer, [0,1]) — information whether the market comments is enabled; 
country_ids  (array) — country IDs; 
city_ids  (array) — cities IDs; 
contact_id (integer) — contact person ID; 
currency (object) — currency description.  "
groups,N/A - VK has no Class Descriptions,gettokenpermissions,Returns permissions scope for the community's access_token.,"Returns an object with following fields: 

mask (integer) — access_token permissions bit mask; 
settings (array) — an array of objects describing permissions. Each object in the array contains following fields: 

setting (integer) — permission's bit mask; 
name (string) — permission's name. 

"
groups,N/A - VK has no Class Descriptions,invite,Allows to invite friends to the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,ismember,Returns information specifying whether a user is a member of a community.,"Returns 1 if the user is a member of the community; otherwise returns 0. 
If extended is set to 1, returns an object containing the following fields: 

member (integer, [0,1]) — whether the user is a member of the community. 
request (integer, [0,1]) — whether the user left a request to join the group, which can be declined by the groups.leave method. 
invitation (integer, [0,1]) — whether the user is invited to join the group or event. 

"
groups,N/A - VK has no Class Descriptions,join,"With this method you can join the group or public page, and also confirm your participation in an event.",Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,leave,"With this method you can leave a group, public page, or event.",Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,removeuser,Removes a user from the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,reorderlink,Allows to reorder links in the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,search,Returns a list of communities matching the search criteria.,"Returns the total results number in count field and an array of objects describing communities in items field. 
"
groups,N/A - VK has no Class Descriptions,setcallbacksettings,Allow to set notifications settings for Callback API.,Returns 1. 
groups,N/A - VK has no Class Descriptions,setlongpollsettings,Allows to set Bots Long Poll API settings in the community.,Returns 1. 
groups,N/A - VK has no Class Descriptions,setsettings,N/A,N/A
groups,N/A - VK has no Class Descriptions,unban,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,create,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,delete,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,get,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,getleads,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,getuploadurl,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,list,N/A,N/A
leadforms,N/A - VK has no Class Descriptions,update,N/A,N/A
likes,N/A - VK has no Class Descriptions,add,Adds the specified object to the Likes list of the current user.,"Returns an object whose likes field specifies the current number of users who added this object to their Likes list. 
"
likes,N/A - VK has no Class Descriptions,delete,Deletes the specified object from the Likes list of the current user.,Returns an object with likes field specifies the number of users who put this object in their Likes list. 
likes,N/A - VK has no Class Descriptions,getlist,Returns a list of IDs of users who added the specified object to their Likes list.,"Returns an object containing the following fields: 

count — The total number of users who added the specified object to their Likes list. 
users — List of IDs of users who added the specified object to their Likes list. 

If type is set to sitepage, also returns a list of users who used the Like widget on an external site. The page URL is set with either the page_url or page_id parameter. 
If extended is set to 1 returns an array items containing additional information about users or communities. "
likes,N/A - VK has no Class Descriptions,isliked,Checks for the object in the Likes list of the specified user.,"Returns an object containing the following fields: 

liked — the user added the object to their Likes list (1 if added). 
copied —  the user made a repost (1 if made). 

"
market,N/A - VK has no Class Descriptions,add,Adds a new item to the market.,Returns market_item_id if succeeded. 
market,N/A - VK has no Class Descriptions,addalbum,Creates new collection of items,Returns created collection ID in market_album_id field. 
market,N/A - VK has no Class Descriptions,addtoalbum,Adds an item to one or multiple collections.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,createcomment,Creates a new comment for an item.,Returns created comment's ID. 
market,N/A - VK has no Class Descriptions,delete,Deletes an item.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,deletealbum,Deletes a collection of items.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,deletecomment,Deletes an item's comment,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,edit,Edits an item.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,editalbum,Edits a collection of items,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,editcomment,Chages item comment's text,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,get,Returns items list for a community.,Returns the total results number in count field and an array of objects describing market items in items field. 
market,N/A - VK has no Class Descriptions,getalbumbyid,Returns items album's data,Returns the total results number in count field and an array of objects describing collections in items field. 
market,N/A - VK has no Class Descriptions,getalbums,Returns community's collections list.,Returns the total results number in count field and an array of objects describing collections in items field. 
market,N/A - VK has no Class Descriptions,getbyid,Returns information about market items by their ids.,Returns the total results number in count field and an array of objects describing market items in items field. 
market,N/A - VK has no Class Descriptions,getcategories,Returns a list of market categories.,"Returns the total results number in count field and an array of objects describing market categories in items field. Each object contains the following fields: 
id 
(integer) Category ID. name 
(string) Category name. section 
(object) Section. Object with the following fields: 

id (integer) — section ID; 
name (string) — section name.  "
market,N/A - VK has no Class Descriptions,getcomments,Returns comments list for an item.,Returns the total results number in count field and an array of objects describing comments in items field. 
market,N/A - VK has no Class Descriptions,removefromalbum,Removes an item from one or multiple collections.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,reorderalbums,Reorders the collections list.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,reorderitems,Changes item place in a collection.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,report,Sends a complaint to the item.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,reportcomment,Sends a complaint to the item's comment.,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,restore,Restores recently deleted item,Returns 1 if succeeded. 
market,N/A - VK has no Class Descriptions,restorecomment,Restores a recently deleted comment,"Returns 1 if succeeded, 0 if comment is not deleted. "
market,N/A - VK has no Class Descriptions,search,Searches market items in a community's catalog,Returns the total results number in count field and an array of objects describing market items in items field. 
messages,N/A - VK has no Class Descriptions,addchatuser,Adds a new user to a chat.,Returns 1. 
messages,N/A - VK has no Class Descriptions,allowmessagesfromgroup,Allows sending messages from community to the current user.,Returns 1. 
messages,N/A - VK has no Class Descriptions,createchat,Creates a chat with several participants.,Returns the ID of the created chat (chat_id). 
messages,N/A - VK has no Class Descriptions,delete,Deletes one or more messages.,Returns 1. 
messages,N/A - VK has no Class Descriptions,deletechatphoto,Deletes a chat's cover picture.,"Returns an object with the following fields: 

message_id ­– ID of the system message sent. 
chat – chat object. 
 "
messages,N/A - VK has no Class Descriptions,deleteconversation,Deletes private messages in a conversation.,Returns 1. 
messages,N/A - VK has no Class Descriptions,denymessagesfromgroup,Denies sending message from community to the current user.,Returns 1. 
messages,N/A - VK has no Class Descriptions,edit,Edits the message.,Returns 1. 
messages,N/A - VK has no Class Descriptions,editchat,Edits the title of a chat.,Returns 1. 
messages,N/A - VK has no Class Descriptions,getbyconversationmessageid,N/A,N/A
messages,N/A - VK has no Class Descriptions,getbyid,Returns messages by their IDs.,Returns a list of message objects. 
messages,N/A - VK has no Class Descriptions,getchat,Returns information about a chat.,"Returns a list of chat objects. 
If the fields parameter is set, the users field contains a list of user objects with an additional invited_by field containing the ID of the user who invited the current user to chat. "
messages,N/A - VK has no Class Descriptions,getchatpreview,Allows to receive chat preview by the invitation link.,"Returns an object with the following fields: 
admin_id 
integerchat creator's ID. members 
objectchat members list. Contains fields: 

profiles (array) — an array of user objects; 
groups (array) — an array of  community objects; 
emails (array) — an array of objects describing e-mails. Each object contains the following fileds: 

id (integer) —  e-mail ID; 
address (string) — e-mail address. title 
stringchat title. photo 
objectchat cover image. Objects with the following fields: 

photo_50 (string) — URL of the image copy with the width of 50 px; 
photo_100 (string) — URL of the image copy with the width of  100 px; 
photo_200 (string) — URL of the image copy with the width of  200px.  "
messages,N/A - VK has no Class Descriptions,getconversationmembers,Returns a list of IDs of users participating in a conversation.,"Returns an object with the following fields: 
count 
integernumber of conversation members. items 
arrayconversation members list. Contains fields: 

member_id (integer) — conversation member ID; 
invited_by (integer) — ID of the user who invited this member to the conversation; 
join_date (integer) — date of joining the conversation; 
is_admin (boolean) — Information whether the user is conversation admin. profiles 
arrayan array of user objects. groups 
arrayan array of  community objects.  "
messages,N/A - VK has no Class Descriptions,getconversations,Returns a list of conversations.,"Returns an object with the following fields: 
count 
integernumber of conversations. items 
arrayconversations list. Contains fields: 

conversation (object) — conversation object; 
last_message (object) —  object describing last message in conversation. unread_count 
integernumber of unread conversations. profiles 
arrayan array of user objects. groups 
arrayan array of  community objects.  "
messages,N/A - VK has no Class Descriptions,getconversationsbyid,Returns conversations by their IDs.,Returns the total number of conversations in count field (integer) and array of conversations in items field. 
messages,N/A - VK has no Class Descriptions,gethistory,Returns message history for the specified user or group chat.,Returns a list of message objects. 
messages,N/A - VK has no Class Descriptions,gethistoryattachments,Returns media files from the dialog or group chat.,"Returns a list of photo, video, audio or doc objects depending on media_type parameter value and additional next_from field containing new offset value. 
For media_type=link returns a list of objects: 
url link URL. 
 string title link title. 
 string description link description. 
 string image_src URL of the link preview image. 
 string  "
messages,N/A - VK has no Class Descriptions,getimportantmessages,N/A,N/A
messages,N/A - VK has no Class Descriptions,getinvitelink,Receives a link to invite a user to the chat.,Returns an objects with the only field link (string) containing the link for inviting. 
messages,N/A - VK has no Class Descriptions,getlastactivity,Returns a user's current status and date of last activity.,"Returns an object with the following fields: 

online — User's current status (0 — offline, 1 — online). 
time — Date (in Unix time) of the user's last activity. "
messages,N/A - VK has no Class Descriptions,getlongpollhistory,Returns updates in user's private messages.,"Returns an object that contains the following fields: 

history — An array similar to updates field returned from the Long Poll server, with these exceptions: 

For events with code 4 (addition of a new message), there are no fields except the first three. 
There are no events with codes 8, 9 (friend goes online/offline) or with codes 61, 62 (typing during conversation/chat). 

messages — An array of private message objects that were found among events with code 4 (addition of a new message) from the history field. Each object of message contains a set of fields described here. The first array element is the total number of messages. 
"
messages,N/A - VK has no Class Descriptions,getlongpollserver,Returns data required for connection to a Long Poll server.,"Returns an object with key, server, ts fields. 
With such data you can connect to an instant message server to immediately receive incoming messages and other events. "
messages,N/A - VK has no Class Descriptions,ismessagesfromgroupallowed,Returns information whether sending messages from the community to current user is allowed.,Returns an object with the one is_allowed field. It contains 1 if messages are allowed and 0 if not. 
messages,N/A - VK has no Class Descriptions,joinchatbyinvitelink,Allows to enter the chat by the invitation link.,Returns an object with the only field chat_id containing chat ID. 
messages,N/A - VK has no Class Descriptions,markasansweredconversation,N/A,N/A
messages,N/A - VK has no Class Descriptions,markasimportant,Marks and unmarks messages as important (starred).,Return a list of IDs for successfully marked messages. 
messages,N/A - VK has no Class Descriptions,markasimportantconversation,N/A,N/A
messages,N/A - VK has no Class Descriptions,markasread,Marks messages as read.,Returns 1. 
messages,N/A - VK has no Class Descriptions,pin,N/A,N/A
messages,N/A - VK has no Class Descriptions,removechatuser,"Allows the current user to leave a chat or, if the current user started the chat, allows the user to remove another user from the chat.","Returns 1. 
"
messages,N/A - VK has no Class Descriptions,restore,Restores a deleted message.,Returns 1. 
messages,N/A - VK has no Class Descriptions,search,Returns a list of the current user's private messages that match search criteria.,"Returns an objects with a total number of items in the count (integer) field and an array of  messages objects in the items (array) field. 
If extended = 1 returns an array of conversation objects in the items (array) field. profiles (array) and groups (array) arrays will be returned additionally. "
messages,N/A - VK has no Class Descriptions,searchconversations,Returns a list of conversations that match search criteria.,Returns the total number of conversations in count field (integer) and array of conversations in items field 
messages,N/A - VK has no Class Descriptions,send,Sends a message.,"Returns sent message ID. 
If user_ids parameter is used, returns an array of objects containing following fields: 

peer_id (integer) — peer ID; 
message_id (integer) — message ID; 
error — error message, if message is not delivered. 
"
messages,N/A - VK has no Class Descriptions,setactivity,Changes the status of a user as typing in a conversation.,"Returns 1. 
""User N is typing..."" is shown for 10 seconds after the method is called, or until the message is sent. "
messages,N/A - VK has no Class Descriptions,setchatphoto,Sets a previously-uploaded picture as the cover picture of a chat.,"Returns an object with the following fields: 

message_id ­– ID of the system message sent. 
chat – a chat object. 
 "
messages,N/A - VK has no Class Descriptions,unpin,N/A,N/A
news feed,N/A - VK has no Class Descriptions,newsfeed.addban,Prevents news from specified users and communities from appearing in the current user's newsfeed.,Returns 1. 
news feed,N/A - VK has no Class Descriptions,newsfeed.deleteban,Allows news from previously banned users and communities to be shown in the current user's newsfeed.,Returns 1. 
news feed,N/A - VK has no Class Descriptions,newsfeed.deletelist,N/A,N/A
news feed,N/A - VK has no Class Descriptions,newsfeed.get,Returns data required to show newsfeed for the current user.,"Returns an object containing the following fields: 

items — News array for the current user. 
profiles — Information about users in the newsfeed. 
groups — Information about groups in the newsfeed. 
new_offset — Contains an offset parameter that is passed to get the next array of news. 
next_from — Contains a from parameter that is passed to get the next array of news. 


Items field description Contains an array of wall objects, as well as the following fields: 

type — Type of newsfeed, based on the specified filters (e.g., post, photo). 
source_id — ID of the news source (positive number signifies a user; negative number signifies a community). 
post_id — Post ID on the owner wall. 
photos, photo_tags, notes, friends — Information about the count of objects of corresponding types (except wall posts) and up to the last 5 objects related to the current news. 

Each array element in the photos and photo_tags fields contains: 

pid — Photo ID. 
owner_id — Photo owner ID. 
aid — Photo album ID. 
src — URL of the preview image. 
src_big — URL of the full-size image. 

Each array element in the notes field contains: 

nid — Note ID. 
owner_id — Note owner ID. 
title — Note title. 
ncom — Number of note comments. 

Each array element in the friends field contains: 

uid — User ID. 


Profiles field description Contains an array of user objects, as well as the following fields: 

photo — URL of the 50x50px user photo. 
photo_medium_rec — URL of the 100x100px user photo. 


Groups field description Contains an array of community objects with information about communities found in news. 
NOTE: You can get the full list of photos, returned with type photo or photo_tag with the  photos.get method, using parameters feed (date of event in date field), feed_type (event type, photo or photo_tag), and uid — ID  of user for whom event has occurred (source_id field). "
news feed,N/A - VK has no Class Descriptions,newsfeed.getbanned,Returns a list of users and communities banned from the current user's newsfeed.,"Returns an object with the following fields: 

groups — An array of community IDs that the user removed from the newsfeed. 
members — An array of friend IDs that the user removed from the newsfeed. 
 "
news feed,N/A - VK has no Class Descriptions,newsfeed.getcomments,Returns a list of comments in the current user's newsfeed.,"Returns an object containing the following fields: 

items — News array for the current user. 
profiles — Information about users in the newsfeed. 
groups — Information about communities in the newsfeed. 


Items field description Contains an array of wall objects, as well as the following fields: 

type — Type of newsfeed, based on the specified filters (e.g., post, photo). 
source_id — ID of the news source (positive number signifies a user; negative number signifies a community). 
post_id — Post ID on the owner wall. 
photos, photo_tags, notes, friends — Information about the count of objects of corresponding types (except wall posts) and up to the last 5 objects related to the current news. 

Each array element in the photos and photo_tags fields contains: 

pid — Photo ID. 
owner_id — Photo owner ID. 
aid — Photo album ID. 
src — URL of the preview image. 
src_big — URL of the full-size image. 

Each array element in the notes field contains: 

nid — Note ID. 
owner_id — Note owner ID. 
title — Note title. 
ncom — Number of note comments. 

Each array element in the friends field contains: 

uid — User ID. 


Profiles field description Contains an array of user objects, as well as the following fields: 

photo — URL of the 50x50px user photo. 
photo_medium_rec — URL of the 100x100px user photo. 


Groups field description Contains an array of community objects with information about communities found in news. "
news feed,N/A - VK has no Class Descriptions,newsfeed.getlists,Returns a list of newsfeeds followed by the current user.,"Returns a list of objects, each containing the following fields: 

id — List ID. 
title — List title. 

If extended=1 parameter was transmitted, following extra fields are returned: 

no_reposts – if reposts are switched off or not; 
source_ids – users and communities identifiers from the list. 

News by specified list can be returned via the newsfeed.get method, using the source_ids parameter. "
news feed,N/A - VK has no Class Descriptions,newsfeed.getmentions,"Returns a list of posts on user walls in which the current user is mentioned. 
",Returns the number of posts and an array of wall objects. 
news feed,N/A - VK has no Class Descriptions,newsfeed.getrecommended," 
Returns a list of newsfeeds recommended to the current user.","Returns an object containing the following fields: 

items — News array for the current user. 
profiles — Information about users in the newsfeed. 
groups — Information about communities in the newsfeed. 
new_offset — Contains an offset parameter that is passed to get the next array of news. 
new_from — Contains a from parameter that is passed to get the next array of news. 


Items field description  Contains an array of wall objects, as well as the following fields: 

type — Type of newsfeed, based on the specified filter (e.g., post, photo). 
source_id — ID of the news source (positive number signifies a user; negative number signifies a community). 
post_id — Post ID on the owner wall. 
photos, photo_tags, notes, friends — Information about the count of objects of corresponding types (except wall posts) and up to the last 5 objects related to the current news. 

Each array element in the photos and photo_tags fields contains: 

pid — Photo ID. 
owner_id — Photo owner ID. 
aid — Photo album ID. 
src — URL of the preview image. 
src_big — URL of the full-size image. 

Each array element in the notes field contains: 

nid — Note ID. 
owner_id — Note owner ID. 
title — Note title. 
ncom — Number of note comments. 

Each array element in the friends field contains: 

uid — User ID. 


Profiles field description Contains an array of user objects, as well as the following fields: 

photo — URL of the 50x50px user photo. 
photo_medium_rec — URL of the 100x100px user photo. 


Groups field description Contains an array of community objects with information about communities found in news. 
NOTE: You can get the full list of photos, returned with type photo or photo_tag with the  photos.get method, using parameters feed (date of event in date field), feed_type (event type, photo or photo_tag), and uid — ID  of user for whom event has occurred (source_id field). 
 "
news feed,N/A - VK has no Class Descriptions,newsfeed.getsuggestedsources,Returns communities and users that current user is suggested to follow.,List of users and communities objects. 
news feed,N/A - VK has no Class Descriptions,newsfeed.ignoreitem,Hides an item from the newsfeed.,If executed successfully returns 1. 
news feed,N/A - VK has no Class Descriptions,newsfeed.savelist,Creates and edits user newsfeed lists,"If successfully executed, returns a created or edited list identifier. "
news feed,N/A - VK has no Class Descriptions,newsfeed.search,"Returns search results by statuses. 
","Returns the total number of posts and an array of wall objects, as well as the following fields: 

owner_id — Post owner ID. If the post was left by a community, the parameter is -gid (group ID preceded by a minus sign). 

If extended is set to 1, also returns the following: 

profiles — Contains user objects, as well as the following fields: 

photo — URL of the 50x50px user photo. 
photo_medium_rec — URL of the 100x100px user photo. 

groups — Contains community objects. 
 "
news feed,N/A - VK has no Class Descriptions,newsfeed.unignoreitem,Returns a hidden item to the newsfeed.,If executed successfully returns 1. 
news feed,N/A - VK has no Class Descriptions,newsfeed.unsubscribe,Unsubscribes the current user from specified newsfeeds.,Returns 1. 
notes,N/A - VK has no Class Descriptions,add,Creates a new note for the current user.,Returns the ID of the created note (nid). 
notes,N/A - VK has no Class Descriptions,createcomment,Adds a new comment on a note.,Returns the ID of the created comment (cid). 
notes,N/A - VK has no Class Descriptions,delete,Deletes a note of the current user.,Returns 1. 
notes,N/A - VK has no Class Descriptions,deletecomment,Deletes a comment on a note.,Returns 1. 
notes,N/A - VK has no Class Descriptions,edit,Edits a note of the current user.,Returns 1. 
notes,N/A - VK has no Class Descriptions,editcomment,Edits a comment on a note.,Returns 1. 
notes,N/A - VK has no Class Descriptions,get,Returns a list of notes created by a user.,Returns a list of note objects. 
notes,N/A - VK has no Class Descriptions,getbyid,Returns a note by its ID.,"Returns a list of note objects containing the following additional fields: 

privacy — Access level for the note (0 — all users, 1 — only friends, 2 — friends and friends' friends, 3 — only the user). 
comment_privacy — Access level for note commenting (0 — all users, 1 — only friends, 2 — friends and friends' friends, 3 — only the user). 
can_comment — Whether the current user can comment on the note (0 — cannot comment, 1 — can comment). "
notes,N/A - VK has no Class Descriptions,getcomments,Returns a list of comments on a note.,"Returns an array of comment objects, each containing the following fields: 

id — Comment ID. 
uid — Comment author ID. 
nid — Note ID. 
oid — Note owner ID. 
date — Date (in Unix time) when the comment was added. 
message — Comment text. 
reply_to — ID of the comment to which the current comment replied, if any. "
notes,N/A - VK has no Class Descriptions,restorecomment,Restores a deleted comment on a note.,Returns 1. 
notifications,N/A - VK has no Class Descriptions,get,Returns a list of notifications about other users' feedback to the current user's wall posts.,"Returns an object with the following fields: 

items — An array of notifications for the current user. 
profiles — Information in notifications about users. 
groups — Information in notifications about communities. 


Items field description Contains an array of items objects, each corresponding to one notification and each containing the following fields: 

type — Notification type (see below). 
date — Date (in Unix time) the feedback appeared. 
parent (is absent for follow, mention, or wall type) — An object describing a material owns feedback (wall post, comment, photo, video, or topic — see type). 
feedback — An object (or an array of objects for follow, like_*, or copy_* type) describing feedback. Notifications about new followers, likes, and copied posts can be grouped as an array. 
reply — An object describing a comment by the user, sent as a reply to the notification. Is absent if there are no replies. 


Type field description Describes a notification type. Presence and content of parent and feedback fields depend on this type. 
Type valueParent field typeFeedback field typeDescription follow-user[]One or more followers of the user have appeared. friend_accepted-user[]A friend request made by the user has been accepted. mention-postA new post that mentions the user has been posted on someone else's wall. mention_commentspostcommentA new comment that mentions the user has been posted. wall-postA new post has been created on the user's wall. comment_postpostcommentA new comment has been added about the user's post. comment_photophotocommentA new comment has been added about the user's photo. comment_videovideocommentA new comment has been added about the user's video. reply_commentcommentcommentA new reply has been added about the user's comment. reply_comment_photocommentcommentA new reply has been added about the user's comment about a photo. reply_comment_videocommentcommentA new reply has been added about the user's comment about a video. reply_topictopiccommentA new reply has been added about the user's topic. like_postpostuser[]One or more Likes have been added to the user's post. like_commentcommentuser[]One or more Likes have been added to the user's comment. like_photophotouser[]One or more Likes have been added to the user's photo. like_videovideouser[]One or more Likes have been added to the user's video. like_comment_photocommentuser[]One or more Likes have been added to the user's comment about a photo. like_comment_videocommentuser[]One or more Likes have been added to the user's comment about a video. like_comment_topiccommentuser[]One or more Likes have been added to the user's comment about a topic. copy_postpostcopy[]One or more users have copied the user's post. copy_photophotocopy[]One or more users have copied the user's photo. copy_videovideocopy[]One or more users have copied the user's video.  

Parent field description (post) Contains information about a wall post. 

Parent field description (comment) Contains information about a comment, with the following additional fields: 

post — (for reply_comment and like_comment types) Post to which the comment was added. 
photo — (for reply_comment_photo and like_comment_photo types) Photo to which the comment was added. 
video — (for reply_comment_video and like_comment_video types) Video to which the comment was added. 
topic — (for like_comment_topic type) Topic to which the comment was added. 


Parent field description (photo) Contains information about a photo. 

Parent field description (video) Contains information about a video. 

Parent field description (topic) Contains information about a topic: 

id — Topic ID. 
owner_id — Community ID (with ""-""). 
title — Topic title. 
created — Date (as Unix time) when the topic was created. 
created_by — Topic creator ID. 
updated — Date (as Unix time) of the last message in the topic. 
updated_by — ID of the author of the last message in the topic. 
is_closed — Whether the topic is closed, e.g. does not allow comments (0 — is not closed, 1 — is closed). 
is_fixed — Whether the topic is fixed to the top of the board (0 — is not fixed, 1 — is fixed). 
comments — Number of comments in the topic. 


Feedback field description Contains information about a notification: 

id (is absent if type is follow or like_*) — Reply ID. 
owner_id — Feedback author ID. 
text (is absent if type is follow, like_*, or copy_*) — Text of the reply. 
likes — Information about likes to the post; an object containing: 

count — Number of users who liked the post. 
user_likes — Whether the user liked (0 — not liked, 1 — liked). 
can_like — Whether the user can like (0 — cannot, 1 — can). 
can_publish — Whether the user can repost (0 — cannot, 1 — can). 


If feedback is a wall post (type post in a table), the feedback object contains additional fields: 

attachments — information about post attachments (photos, links, etc.; see Description of ""attachments"" field); 
geo — Information about location; an object containing: 

place_id — Location ID. 
title — Location title. 
type — Location type. 
country_id — Country ID. 
city_id — City ID. 
address — Street address. 
showmap — Used if a map of the location is attached. 



Reply fields description Contains information about a user's reply to a notification: 

id — Comment ID. 
date — Date (in Unix time) the comment was added. 
text — Text of the comment. "
notifications,N/A - VK has no Class Descriptions,markasviewed,Resets the counter of new notifications about other users' feedback to the current user's wall posts.,Returns 1 if the current user has new notifications; otherwise returns 0. 
notifications,N/A - VK has no Class Descriptions,sendmessage,N/A,N/A
pages,N/A - VK has no Class Descriptions,clearcache,Allows to clear the cache of particular external pages which may be attached to VK posts.,"If cache is cleared successfully, method returns 1. "
pages,N/A - VK has no Class Descriptions,get,Returns information about a wiki page.,"Returns a page object containing the following fields: 

pid — Page ID. 
group_id — Community ID. 
creator_id — ID of the page creator. 
title — Page title. 
source — Text of the wiki page. 
current_user_can_edit — Whether a user can edit page text (0 — cannot, 1 — can). 
current_user_can_edit_access — Whether a user can edit page access permissions (0 — cannot, 1 — can). 
who_can_view — Who can view the wiki page (0 — only community managers, 1 — only community members, 2 — all users). 
who_can_edit — Who can edit the wiki page (0 — only community managers, 1 — only community members, 2 — all users). 
editor_id — ID of the last user who edited the page. 
edited — Date of the last change. 
created — Page creation date. 
parent — Title of the parent page for navigation, if any. 
parent2 — Title of the second parent page for navigation, if any. "
pages,N/A - VK has no Class Descriptions,gethistory,Returns a list of all previous versions of a wiki page.,"Returns an array of page_version objects, each containing the following fields: 

hid — ID of the page version. 
length — Length of the page version (in bytes). 
edited — Date on which the page was edited. 
editor_id — ID of the user who edited the page. 
editor_name — Name of the user who edited the page. "
